pl	lx	note
Nie przyjmuję uczniów.	Ao daoo nong-ci ma-cha sen.	neg + liczba mnoga
Wracaj do domu.	Cu shio.	polecenie
Odejdź!	Deo!	imperatyw
Nic cię tu nie czeka.	Wuo wa nio kuan-kua.	zdanie egzystencjalne
Wejdź.	Xu.	imperatyw krótki
Mistrzu, jesteś tu?	Cheng-chen, nio ai kuan-kua mo?	pytanie z mo
Powiedz mu, żeby wracał.	Bo cou: cou hu cu shio.	mowa zależna + hu
Jeśli zdasz testy, zostaniesz tutaj.	Jiao nio lei-zhuai kuo-nie-gui, nio pao-he wo kuan-kua.	jiao warunek
Nie trenować nikogo więcej.	Daoo niang-chi heio shun-qin.	neg + heio
Zemścisz się?	Nio mei-wu mo?	pytanie o zamiar
Śmierć twojego ojca mnie smuci.	Nio zhai rou zhai weng-qing, ao ai beio-nian.	genetyw + emocja
Przez wzgląd na niego pozwolę ci zacząć próby.	Ao cao-huan cou, ao lie-ling nio te kuo-nie-gui.	pozwolenie
Dowiesz się zasad tego miejsca.	Nio ga chai-cen re-mang zhai cha-cun sen.	informacja przyszła
Skąd przybyłeś?	Hen-rǎo nio ci mo?	nowy zaimek pyt.
Przybywam z Askikagamy.	Ao rǎo-ci ashikagama.	nowy przyimek źródła
On wygląda na zmęczonego.	Cou ying-shun lao-nuo.	nowy czasownik modalny
Trudno to powiedzieć.	Laio-shun bo neng-ru.	nowy przysłówek
Wpuściłem go tutaj.	Ao lie-xu cou xu kuan-kua.	nowy czasownik przyjęcia
Nie wracaj nigdy.	Daoo cu mie.	neg + nigdy
Zostań tutaj.	Wo kuan-kua.	stan
Przyjmij go do środka.	Lie-xu cou xu kuan-kua.	imperatyw przyjęcia
Opuść to miejsce.	Deo-re re-mang.	polecenie z nowym czasownikiem
Zaufaj obcemu przybyszowi.	Ci wai-que zhai bie-keng.	użycie „wai-que”
